연번,경찰서,구분,살인,강도, 성범죄,Unnamed: 6,폭력,합계,cctv개수
1,중부,경찰서,2.0,1.0,41.0,,701.0,2010.0,100.0
2,동래,경찰서,1.0,0.0,104.0,,1250.0,1055.0,2409.0
3,영도,경찰서,5.0,1.0,39.0,,568.0,1440.0,713.0
4,동부,경찰서,4.0,5.0,52.0,,747.0,1720.0,620.0
5,부산진,경찰서,5.0,6.0,347.0,,2681.0,612.0,1800.0
6,서부,경찰서,3.0,2.0,30.0,,498.0,1365.0,798.0
7,남부,경찰서,3.0,2.0,197.0,,1690.0,721.0,1721.0
8,해운대,경찰서,3.0,4.0,137.0,,1423.0,645.0,1745.0
9,사상,경찰서,6.0,3.0,73.0,,1031.0,1325.0,965.0
10,금정,경찰서,4.0,0.0,80.0,,832.0,1042.0,1242.0
11,사하,경찰서,2.0,0.0,102.0,,1278.0,782.0,1482.0
12,연제,경찰서,3.0,2.0,98.0,,1402.0,1105.0,1105.0
13,강서,경찰서,2.0,0.0,56.0,,618.0,445.0,1945.0
14,북부,경찰서,6.0,0.0,93.0,,959.0,1102.0,915.0
15,,,,,,,,,
